clientes;status;genero;compras;regiao;pagto;qtde;pedido
704;0;0;4;0;1;2;1000
705;0;0;1;0;2;3;90
706;0;0;1;0;2;2;400
707;0;0;2;0;1;9;2000
708;0;0;2;0;2;1;100
709;0;0;1;0;2;1;100
710;0;0;1;0;1;1;200
711;0;0;6;1;2;1;100
712;0;0;1;0;1;1;100
713;0;0;1;1;2;1;100
714;0;0;1;0;1;1;100
715;0;0;6;1;1;1;100
716;0;0;5;0;1;6;1000
717;0;0;1;0;1;2;500
718;0;0;3;1;2;5;1000
719;0;0;1;0;2;3;300
720;0;0;1;1;2;1;400
721;1;0;1;0;2;1;200
722;0;0;1;0;2;2;400
723;0;0;3;1;1;1;300
724;0;0;1;0;1;1;500
725;0;0;1;0;2;2;400
726;0;0;3;1;1;1;400
727;0;0;1;1;2;2;600
728;0;0;1;0;2;2;400
729;0;0;1;0;2;1;300
730;0;0;1;1;1;1;100
